States,Category,Abbreviation,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,State,AL,1,1,1,1,1,1,1,1,1,1,3,3
Alaska,State,AK,2,2,2,2,2,2,2,2,2,2,6,6
Arizona,State,AZ,1,1,1,1,1,1,4,4,4,4,4,4
Arkansas,State,AR,1,1,1,1,1,1,1,1,1,1,1,1
California,State,CA,4,4,4,4,4,4,5,5,5,5,5,5
Colorado,State,CO,4,4,4,4,4,4,4,4,6,6,6,6
Connecticut,State,CT,1,1,1,1,1,1,1,2,4,4,4,4
Delaware,State,DE,1,1,1,1,1,1,1,4,4,4,4,5
District of Columbia,State,DC,4,4,4,4,4,4,4,4,4,4,6,6
Florida,State,FL,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,State,GA,1,1,1,1,1,1,1,1,1,1,1,3
Hawaii,State,HI,4,4,4,4,4,4,4,4,4,4,4,4
Idaho,State,ID,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,State,IL,1,1,1,1,1,1,1,1,1,4,4,4
Indiana,State,IN,1,1,1,1,1,1,1,1,1,1,1,1
Iowa,State,IA,1,1,1,1,1,1,1,1,1,1,3,3
Kansas,State,KS,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,State,KY,1,1,1,1,1,1,1,1,1,1,3,3
Louisiana,State,LA,1,1,1,1,1,1,1,1,1,1,1,3
Maine,State,ME,5,5,5,5,5,5,5,5,5,5,5,5
Maryland,State,MD,1,1,1,1,1,1,1,1,4,4,5,5
Massachusetts,State,MA,1,1,1,1,2,2,2,2,2,5,5,5
Michigan,State,MI,1,1,1,1,4,4,4,4,4,4,4,4
Minnesota,State,MN,2,2,2,2,2,2,2,2,2,2,5,5
Mississippi,State,MS,2,2,2,2,2,2,2,2,2,2,5,5
Missouri,State,MO,1,1,1,1,1,1,1,1,1,1,5,5
Montana,State,MT,4,4,4,4,4,4,4,4,4,4,4,4
Nebraska,State,NE,2,2,2,2,2,2,2,2,2,2,2,2
Nevada,State,NV,4,4,4,4,4,4,4,4,4,4,4,4
New Hampshire,State,NH,1,1,1,1,1,1,1,1,1,4,4,4
New Jersey,State,NJ,1,1,1,1,1,1,4,4,4,4,4,4
New Mexico,State,NM,1,1,1,4,4,4,4,4,4,4,4,4
New York,State,NY,2,2,2,2,2,2,2,2,2,2,5,5
North Carolina,State,NC,2,2,2,2,2,2,2,2,2,2,2,5
North Dakota,State,ND,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,State,OH,2,2,2,2,2,2,2,2,2,2,2,2
Oklahoma,State,OK,1,1,1,1,1,1,1,1,1,1,1,3
Oregon,State,OR,2,2,2,2,2,2,2,2,2,2,2,6
Pennsylvania,State,PA,1,1,1,1,1,1,1,1,1,1,1,2
Rhode Island,State,RI,1,1,4,4,4,4,4,4,4,4,4,4
South Carolina,State,SC,1,1,1,1,1,1,1,1,1,1,3,3
South Dakota,State,SD,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,State,TN,1,1,1,1,1,1,1,1,1,1,1,3
Texas,State,TX,1,1,1,1,1,1,1,1,1,1,1,3
Utah,State,UT,1,1,1,1,1,1,1,1,1,1,3,3
Vermont,State,VT,4,4,4,4,4,4,4,4,4,5,5,5
Virginia,State,VA,1,1,1,1,1,1,1,1,1,1,1,3
Washington,State,WA,4,4,4,4,4,4,4,4,6,6,6,6
West Virginia,State,WV,1,1,1,1,1,1,1,1,1,1,1,1
Wisconsin,State,WI,1,1,1,1,1,1,1,1,1,1,3,3
Wyoming,State,WY,1,1,1,1,1,1,1,1,1,1,1,3
